 INFLUENZA PANDÊMICA - Sinan - Brasil
Freqüência por Município de notificação e Síndrome Gripal
Período:2009-2010
"Município de notificação";"Ign/Branco";"Sim";"Não";"Total"
"350210 ANDRADINA";30;-;6;36
"350250 APARECIDA";2;-;-;2
"350260 APARECIDA D'OESTE";2;-;-;2
"350270 APIAI";1;1;1;3
"350275 ARACARIGUAMA";2;-;-;2
"350280 ARACATUBA";48;3;3;54
"350290 ARACOIABA DA SERRA";5;-;-;5
"350320 ARARAQUARA";28;6;6;40
"350330 ARARAS";53;1;6;60
"350400 ASSIS";51;4;8;63
"350410 ATIBAIA";45;-;9;54
"350420 AURIFLAMA";13;-;-;13
"350450 AVARE";35;1;4;40
"350460 BADY BASSITT";-;-;1;1
"350520 BARIRI";144;-;2;146
"350530 BARRA BONITA";29;-;2;31
"350550 BARRETOS";73;-;8;81
"350560 BARRINHA";1;-;-;1
"350570 BARUERI";225;19;10;254
"350580 BASTOS";10;-;6;16
"350590 BATATAIS";10;-;3;13
"350600 BAURU";253;30;21;304
"350610 BEBEDOURO";60;-;2;62
"350635 BERTIOGA";3;-;-;3
"350650 BIRIGUI";45;3;8;56
"350680 BOCAINA";2;-;1;3
"350700 BOITUVA";16;1;-;17
"350740 BORBOREMA";1;-;-;1
"350750 BOTUCATU";94;14;14;122
"350760 BRAGANCA PAULISTA";67;2;6;75
"350790 BROTAS";1;-;-;1
"350810 BURITAMA";28;1;3;32
"350820 BURITIZAL";1;-;-;1
"350850 CACAPAVA";102;1;-;103
"350870 CACONDE";8;-;-;8
"350900 CAIEIRAS";26;7;1;34
"350920 CAJAMAR";10;-;-;10
"350930 CAJOBI";2;-;-;2
"350940 CAJURU";1;-;-;1
"350945 CAMPINA DO MONTE ALEGRE";1;-;-;1
"350950 CAMPINAS";877;274;335;1486
"350960 CAMPO LIMPO PAULISTA";12;1;1;14
"350970 CAMPOS DO JORDAO";66;-;-;66
"351000 CANDIDO MOTA";4;2;-;6
"351020 CAPAO BONITO";116;-;28;144
"351030 CAPELA DO ALTO";2;-;-;2
"351040 CAPIVARI";8;-;4;12
"351050 CARAGUATATUBA";18;1;-;19
"351060 CARAPICUIBA";5;3;1;9
"351080 CASA BRANCA";11;-;1;12
"351110 CATANDUVA";172;2;22;196
"351160 CESARIO LANGE";1;-;-;1
"351170 CHARQUEADA";3;-;1;4
"351190 CLEMENTINA";-;-;1;1
"351220 CONCHAL";23;1;3;27
"351230 CONCHAS";3;-;-;3
"351240 CORDEIROPOLIS";4;-;-;4
"351280 COSMOPOLIS";3;-;2;5
"351300 COTIA";155;1;11;167
"351310 CRAVINHOS";1;-;-;1
"351320 CRISTAIS PAULISTA";5;-;-;5
"351340 CRUZEIRO";75;2;4;81
"351350 CUBATAO";19;6;5;30
"351370 DESCALVADO";1;-;1;2
"351380 DIADEMA";213;4;21;238
"351385 DIRCE REIS";1;-;-;1
"351390 DIVINOLANDIA";2;-;1;3
"351410 DOIS CORREGOS";28;-;2;30
"351440 DRACENA";29;-;2;31
"351450 DUARTINA";2;-;-;2
"351500 EMBU DAS ARTES";5;1;-;6
"351518 ESPIRITO SANTO DO PINHAL";2;-;1;3
"351520 ESTRELA D'OESTE";1;-;-;1
"351540 FARTURA";12;-;1;13
"351550 FERNANDOPOLIS";28;-;2;30
"351570 FERRAZ DE VASCONCELOS";33;1;1;35
"351600 FLORIDA PAULISTA";3;-;-;3
"351620 FRANCA";155;17;7;179
"351630 FRANCISCO MORATO";19;2;10;31
"351640 FRANCO DA ROCHA";12;-;2;14
"351650 GABRIEL MONTEIRO";-;-;1;1
"351740 GUAIRA";11;-;-;11
"351770 GUARA";2;-;-;2
"351780 GUARACAI";2;-;-;2
"351820 GUARARAPES";30;-;1;31
"351840 GUARATINGUETA";88;-;2;90
"351860 GUARIBA";6;-;-;6
"351870 GUARUJA";4;-;-;4
"351880 GUARULHOS";364;51;53;468
"351890 GUZOLANDIA";5;-;-;5
"351907 HORTOLANDIA";47;-;7;54
"351910 IACANGA";8;1;-;9
"351920 IACRI";1;-;-;1
"351925 IARAS";2;-;-;2
"351960 IBITINGA";13;2;4;19
"351970 IBIUNA";1;-;-;1
"352000 IGARACU DO TIETE";25;-;-;25
"352040 ILHABELA";14;1;2;17
"352044 ILHA SOLTEIRA";20;-;1;21
"352050 INDAIATUBA";42;8;8;58
"352080 INUBIA PAULISTA";1;-;-;1
"352170 ITABERA";4;-;-;4
"352180 ITAI";7;-;-;7
"352210 ITANHAEM";7;-;1;8
"352220 ITAPECERICA DA SERRA";90;7;24;121
"352230 ITAPETININGA";160;9;38;207
"352240 ITAPEVA";101;2;3;106
"352250 ITAPEVI";51;2;6;59
"352260 ITAPIRA";5;-;-;5
"352270 ITAPOLIS";9;-;1;10
"352280 ITAPORANGA";21;-;-;21
"352290 ITAPUI";9;-;-;9
"352310 ITAQUAQUECETUBA";28;1;6;35
"352320 ITARARE";1;-;-;1
"352340 ITATIBA";96;2;15;113
"352350 ITATINGA";6;-;-;6
"352360 ITIRAPINA";1;-;-;1
